,region
0,Albany
1,Atlanta
2,BaltimoreWashington
3,Boise
4,Boston
5,BuffaloRochester
6,Charlotte
7,Chicago
8,CincinnatiDayton
9,Columbus
10,DallasFtWorth
11,Denver
12,Detroit
13,GrandRapids
14,HarrisburgScranton
15,HartfordSpringfield
16,Houston
17,Indianapolis
18,Jacksonville
19,LasVegas
20,LosAngeles
21,Louisville
22,Miami
23,Nashville
24,NewOrleans
25,NewYork
26,NorthernNewEngland
27,Orlando
28,Philadelphia
29,PhoenixTucson
30,Pittsburgh
31,Portland
32,RaleighGreensboro
33,RichmondNorfolk
34,Roanoke
35,Sacramento
36,SanDiego
37,SanFrancisco
38,Seattle
39,SouthCarolina
40,Spokane
41,StLouis
42,Syracuse
43,Tampa
44,WestTexNewMexico
45,BirminghamMontgomery
46,PeoriaSpringfield
47,Providence
48,Toledo
49,Wichita
50,MiamiFtLauderdale
